ชื่อสาขา,ห้าง,จังหวัด,ภูมิภาค
อุตรดิตถ์,โกลบอลเฮ้าส์,อุตรดิตถ์,ภาคเหนือ
เลิงนกทา ยโสธร,โกลบอลเฮ้าส์,ยโสธร,ภาคตะวันออกเฉียงเหนือ
ยโสธร,โกลบอลเฮ้าส์,ยโสธร,ภาคตะวันออกเฉียงเหนือ
เมกาโฮม-โรจนะ,โฮมโปร,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก
อยุธยา,โฮมโปร,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก
เกตเวย์ เอกมัย,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เกตเวย์ บางซื่อ,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เกตเวย์ บางซื่อ-เพาเวอร์ไลฟ์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เพชรเกษม,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เพลินจิต,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เมกาโฮม-บางนาตราด,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เมกาโฮม-บางพลี,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เมกาโฮม-มีนบุรี,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เมกาโฮม-รัตนาธิเบศร์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เอกมัย-รามอินทรา,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
แฟชั่นไอส์แลนด์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
แฟชั่นไอส์แลนด์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
โลตัส บางแค,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
กัลปพฤกษ์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
จรัญสนิทวงศ์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ซีคอน บางแค,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางจาก-กล้วยน้ำไท,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางนา กม.1,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 2,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 3,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 9,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พาราไดซ์ พาร์ค,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
มาร์เก็ตเพลส นางลิ้นจี่,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
รัชดาภิเษก,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
รามคำแหง,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ลาดกระบัง,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ลาดพร้าว,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ศรีนครินทร์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สามย่าน มิตรทาวน์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สุขาภิบาล 3,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บุรีรัมย์,โฮมโปร,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
เมกาโฮม-ฉะเชิงเทรา,โฮมโปร,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก
ฉะเชิงเทรา,โฮมโปร,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก
ชัยภูมิ,โฮมโปร,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ
จันทบุรี,โฮมโปร,จันทบุรี,ภาคตะวันตกและตะวันออก
เชียงใหม่,โฮมโปร,เชียงใหม่,ภาคเหนือ
เมกาโฮม-เชียงใหม่,โฮมโปร,เชียงใหม่,ภาคเหนือ
รวมโชค เชียงใหม่,โฮมโปร,เชียงใหม่,ภาคเหนือ
สันทราย,โฮมโปร,เชียงใหม่,ภาคเหนือ
หางดง,โฮมโปร,เชียงใหม่,ภาคเหนือ
เชียงราย,โฮมโปร,เชียงราย,ภาคเหนือ
เมกาโฮม-เชียงราย,โฮมโปร,เชียงราย,ภาคเหนือ
แม่สาย,โฮมโปร,เชียงราย,ภาคเหนือ
เมกาโฮม-บ่อวิน,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
เมกาโฮม-บางแสน,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
เมกาโฮม-พัทยา,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
แหลมฉบัง,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
ชลบุรี,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
บางเสร่,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
พัทยา,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
พัทยาเหนือ,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
ศรีราชา,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
อมตะนคร,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก
ชุมพร,โฮมโปร,ชุมพร,ภาคใต้
กาญจนบุรี,โฮมโปร,กาญจนบุรี,ภาคตะวันตกและตะวันออก
ขอนแก่น,โฮมโปร,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
เกาะลันตา,โฮมโปร,กระบี่,ภาคใต้
กระบี่,โฮมโปร,กระบี่,ภาคใต้
ลำปาง,โฮมโปร,ลำปาง,ภาคเหนือ
ลำพูน,โฮมโปร,ลำพูน,ภาคเหนือ
เลย,โฮมโปร,เลย,ภาคตะวันออกเฉียงเหนือ
ชัยบาดาล,โฮมโปร,ลพบุรี,ภาคตะวันตกและตะวันออก
ลพบุรี,โฮมโปร,ลพบุรี,ภาคตะวันตกและตะวันออก
มุกดาหาร,โฮมโปร,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ
เมกาโฮม-นครปฐม,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก
กำแพงแสน,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก
นครปฐม,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก
พุทธมณฑล สาย 5,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก
พุทธมณฑล สาย 4,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก
เมกาโฮม-นครพนม,โฮมโปร,นครพนม,ภาคตะวันออกเฉียงเหนือ
เขาใหญ่,โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
เทอร์มินอล 21 โคราช-โฮมลีฟวิ่ง,โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
เมกาโฮม-นครราชสีมา,โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
นครราชสีมา,โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
นครราชสีมา (หัวทะเล),โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
นครสวรรค์,โฮมโปร,นครสวรรค์,ภาคเหนือ
เมกาโฮม-ทุ่งสง,โฮมโปร,นครศรีธรรมราช,ภาคใต้
ขนอม,โฮมโปร,นครศรีธรรมราช,ภาคใต้
นครศรีธรรมราช,โฮมโปร,นครศรีธรรมราช,ภาคใต้
เมกาโฮม-หนองคาย,โฮมโปร,หนองคาย,ภาคตะวันออกเฉียงเหนือ
เมกาโฮม-ติวานนท์,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง
แจ้งวัฒนะ,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง
ชัยพฤกษ์,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง
บางจาก-บางบัวทอง,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง
บางบัวทอง,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง
ประชาชื่น,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง
รัตนาธิเบศร์,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง
ราชพฤกษ์,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง
เมกาโฮม-รังสิต,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง
ฟิวเจอร์พาร์ค รังสิต,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง
รังสิต,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง
รังสิต คลอง 4,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง
รังสิต-ปทุมธานี,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง
ลำลูกกา,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง
พัทลุง,โฮมโปร,พัทลุง,ภาคใต้
เพชรบูรณ์,โฮมโปร,เพชรบูรณ์,ภาคเหนือ
เพชรบุรี,โฮมโปร,เพชรบุรี,ภาคตะวันตกและตะวันออก
ชะอำ,โฮมโปร,เพชรบุรี,ภาคตะวันตกและตะวันออก
พิษณุโลก,โฮมโปร,พิษณุโลก,ภาคเหนือ
แพร่,โฮมโปร,แพร่,ภาคเหนือ
เจ้าฟ้า ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้
เชิงทะเล ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้
ฉลอง ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้
ถลาง ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้
ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้
เมกาโฮม-กบินทร์บุรี,โฮมโปร,ปราจีนบุรี,ภาคตะวันตกและตะวันออก
ปราจีนบุรี,โฮมโปร,ปราจีนบุรี,ภาคตะวันตกและตะวันออก
ประจวบคีรีขันธ์,โฮมโปร,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก
หัวหิน,โฮมโปร,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก
จอมบึง,โฮมโปร,ราชบุรี,ภาคตะวันตกและตะวันออก
ราชบุรี,โฮมโปร,ราชบุรี,ภาคตะวันตกและตะวันออก
เมกาโฮม-บ้านฉาง,โฮมโปร,ระยอง,ภาคตะวันตกและตะวันออก
เมกาโฮม-ปลวกแดง,โฮมโปร,ระยอง,ภาคตะวันตกและตะวันออก
ระยอง,โฮมโปร,ระยอง,ภาคตะวันตกและตะวันออก
ระยอง (ทับมา),โฮมโปร,ระยอง,ภาคตะวันตกและตะวันออก
ร้อยเอ็ด,โฮมโปร,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ
เมกาโฮม-อรัญประเทศ,โฮมโปร,สระแก้ว,ภาคตะวันตกและตะวันออก
สกลนคร,โฮมโปร,สกลนคร,ภาคตะวันออกเฉียงเหนือ
เมกาบางนา,โฮมโปร,สมุทรปราการ,กรุงเทพฯและภาคกลาง
สุขสวัสดิ์,โฮมโปร,สมุทรปราการ,กรุงเทพฯและภาคกลาง
สุวรรณภูมิ,โฮมโปร,สมุทรปราการ,กรุงเทพฯและภาคกลาง
มหาชัย,โฮมโปร,สมุทรสาคร,ภาคตะวันตกและตะวันออก
สมุทรสงคราม,โฮมโปร,สมุทรสงคราม,ภาคตะวันตกและตะวันออก
สระบุรี,โฮมโปร,สระบุรี,ภาคตะวันตกและตะวันออก
เมกาโฮม-หาดใหญ่,โฮมโปร,สงขลา,ภาคใต้
หาดใหญ่,โฮมโปร,สงขลา,ภาคใต้
หาดใหญ่ กาญจนวนิช,โฮมโปร,สงขลา,ภาคใต้
สุโขทัย,โฮมโปร,สุโขทัย,ภาคเหนือ
สุพรรณบุรี,โฮมโปร,สุพรรณบุรี,ภาคตะวันตกและตะวันออก
เกาะพะงัน,โฮมโปร,สุราษฎร์ธานี,ภาคใต้
เกาะสมุย,โฮมโปร,สุราษฎร์ธานี,ภาคใต้
เกาะสมุย 2,โฮมโปร,สุราษฎร์ธานี,ภาคใต้
เมกาโฮม-เวียงสระ,โฮมโปร,สุราษฎร์ธานี,ภาคใต้
เมกาโฮม-สุราษฎร์ธานี,โฮมโปร,สุราษฎร์ธานี,ภาคใต้
สุราษฎร์ธานี (เลี่ยงเมือง),โฮมโปร,สุราษฎร์ธานี,ภาคใต้
สุรินทร์,โฮมโปร,สุรินทร์,ภาคตะวันออกเฉียงเหนือ
เมกาโฮม-แม่สอด,โฮมโปร,ตาก,ภาคเหนือ
ตรัง,โฮมโปร,ตรัง,ภาคใต้
อุบลราชธานี,โฮมโปร,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ
หนองหาน,โฮมโปร,อุดรธานี,ภาคตะวันออกเฉียงเหนือ
อุดรธานี,โฮมโปร,อุดรธานี,ภาคตะวันออกเฉียงเหนือ
อ่างทอง,โลตัส,อ่างทอง,ภาคตะวันตกและตะวันออก
เสนา อยุธยา,โลตัส,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก
โรจนะ อยุธยา,โลตัส,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก
บางประอิน อยุธยา,โลตัส,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก
อยุธยา,โลตัส,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก
เลียบคลอง 2,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
แจ้งวัฒนะ,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ไอคอนสยาม,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
จรัญสนิทวงศ์,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ซีคอน ศรีนครินทร์,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางแค,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางกะปิ,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางนา-ตราด,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางปะกอก,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ประชาชื่น,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ปิ่นเกล้า,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 1,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 2,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 3,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 4,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พัฒนาการ,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ฟอร์จูนทาว,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
มีนบุรี,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
รามอินทรา,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ลาดกระบัง,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ลาดพร้าว,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
วังหิน,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สุขาภิบาล 3,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สุขาภิบาล I,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สุขุมวิท 50,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
หนองจอก,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
หลักสี่,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บึงกาฬ,โลตัส,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ
นางโรง บุรีรัมย์,โลตัส,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
ปักโคนชัย บุรีรัมย์,โลตัส,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
ลำปลายมาศ,โลตัส,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
สะตึก บุรีรัมย์,โลตัส,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
บางปะกง,โลตัส,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก
พนมสารคาม ฉะเชิงเทรา,โลตัส,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก
ชัยนาท,โลตัส,ชัยนาท,ภาคตะวันตกและตะวันออก
แก่งค้อ ชัยภูมิ,โลตัส,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ
จัตุรัส ชัยภูมิ,โลตัส,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ
ชัยภูมิ,โลตัส,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ
จันทบุรี,โลตัส,จันทบุรี,ภาคตะวันตกและตะวันออก
เชียงใหม่,โลตัส,เชียงใหม่,ภาคเหนือ
คำเที่ยง เชียงใหม่,โลตัส,เชียงใหม่,ภาคเหนือ
จอมทอง,โลตัส,เชียงใหม่,ภาคเหนือ
ซูเปอร์มาร์เก็ต โอเอซิส สารภี เชียง ใหม่,โลตัส,เชียงใหม่,ภาคเหนือ
ฝาง,โลตัส,เชียงใหม่,ภาคเหนือ
รวมโชค เชียงใหม่,โลตัส,เชียงใหม่,ภาคเหนือ
เชียงของ เชียงราย,โลตัส,เชียงราย,ภาคเหนือ
แม่จัน เชียงราย,โลตัส,เชียงราย,ภาคเหนือ
แม่สาย,โลตัส,เชียงราย,ภาคเหนือ
แหลมฉบัง,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
ชลบุรี,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
บ่อวิน,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
บ้านบึง ชลบุรี,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
บ้านสวน ชลบุรี,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
พนัสนิคม ชลบุรี,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
พัทยา,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
พัทยาเหนือ,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
ศรีราชา ชลบุรี,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
สนามบินอู่ตะเภา ชลบุรี,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
สัตหีบ,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
อมตะนคร,โลตัส,ชลบุรี,ภาคตะวันตกและตะวันออก
ชุมพร,โลตัส,ชุมพร,ภาคใต้
หลังสวน ชุมพร,โลตัส,ชุมพร,ภาคใต้
กาฬสินธุ์,โลตัส,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ
กุฉินารายณ์,โลตัส,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ
สมเด็จ,โลตัส,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ
กนุวรลักษณ์ กำแพงเพชร,โลตัส,กำแพงเพชร,ภาคเหนือ
กาญจนบุรี,โลตัส,กาญจนบุรี,ภาคตะวันตกและตะวันออก
ขอนแก่น,โลตัส,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
ชุมแพ,โลตัส,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
บ้านศิลา ขอนแก่น,โลตัส,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
หนองเรือ ขอนแก่น,โลตัส,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
กระบี่,โลตัส,กระบี่,ภาคใต้
ลำปาง,โลตัส,ลำปาง,ภาคเหนือ
เลย,โลตัส,เลย,ภาคตะวันออกเฉียงเหนือ
ลพบุรี พลาซ่า,โลตัส,ลพบุรี,ภาคตะวันตกและตะวันออก
ลำนาราย ลพบุรี,โลตัส,ลพบุรี,ภาคตะวันตกและตะวันออก
เชียงยืน มหาสารคาม,โลตัส,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ
เสริมไทย มหาสารคาม,โลตัส,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ
โกสุมพิสัย มหาสารคาม,โลตัส,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ
บอระบือ มหาสารคาม,โลตัส,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ
พยัคฆภูมิพิสัย,โลตัส,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ
วาปีปทุม มหาสารคาม,โลตัส,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ
มุกดาหาร,โลตัส,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ
นครนายก,โลตัส,นครนายก,ภาคตะวันตกและตะวันออก
องครักษ์ นครนายก,โลตัส,นครนายก,ภาคตะวันตกและตะวันออก
กำแพงแสน,โลตัส,นครปฐม,ภาคตะวันตกและตะวันออก
นครชัยศรี นครปฐม,โลตัส,นครปฐม,ภาคตะวันตกและตะวันออก
นครปฐม,โลตัส,นครปฐม,ภาคตะวันตกและตะวันออก
บางเลน นครปฐม,โลตัส,นครปฐม,ภาคตะวันตกและตะวันออก
ศาลายา,โลตัส,นครปฐม,ภาคตะวันตกและตะวันออก
สามพราน,โลตัส,นครปฐม,ภาคตะวันตกและตะวันออก
ธาตพนม นครพนม,โลตัส,นครพนม,ภาคตะวันออกเฉียงเหนือ
นครพนม,โลตัส,นครพนม,ภาคตะวันออกเฉียงเหนือ
โคราช,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
โนนไทย,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
จอกชัย นครราชสีมา,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
จอหอ (นครราชสีมา),โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
ด่านขุนทด,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
บัวใหญ่,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
ประไท นครราชสีมา,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
ปักธงชัย นครราชสีมา,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
ปากช่อง,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
พิมาย,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
ศรีค้อ นครราชสีมา,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
หัวทะเล โคราช,โลตัส,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
เดอะวอคก์ นครสวรรค์,โลตัส,นครสวรรค์,ภาคเหนือ
ตาคลี นครสวรรค์,โลตัส,นครสวรรค์,ภาคเหนือ
ลาดยาว นครสวรรค์,โลตัส,นครสวรรค์,ภาคเหนือ
โชคดี นครศรีธรรมราช,โลตัส,นครศรีธรรมราช,ภาคใต้
ท่าศาลา,โลตัส,นครศรีธรรมราช,ภาคใต้
ทุ่งสง,โลตัส,นครศรีธรรมราช,ภาคใต้
นครศรีธรรมราช,โลตัส,นครศรีธรรมราช,ภาคใต้
สิชล,โลตัส,นครศรีธรรมราช,ภาคใต้
น่าน,โลตัส,น่าน,ภาคเหนือ
หนองบัวลำภู,โลตัส,หนองบัวลำภู,ภาคตะวันออกเฉียงเหนือ
ท่าบ่อ หนองคาย,โลตัส,หนองคาย,ภาคตะวันออกเฉียงเหนือ
หนองคาย,โลตัส,หนองคาย,ภาคตะวันออกเฉียงเหนือ
นครอินทร์ บางกรวย,โลตัส,นนทบุรี,กรุงเทพฯและภาคกลาง
นอร์ทราชพฤษ์ นนทบุรี,โลตัส,นนทบุรี,กรุงเทพฯและภาคกลาง
บางใหญ่,โลตัส,นนทบุรี,กรุงเทพฯและภาคกลาง
บางกรวยไทรน้อย,โลตัส,นนทบุรี,กรุงเทพฯและภาคกลาง
รัตนาธิเบศร์,โลตัส,นนทบุรี,กรุงเทพฯและภาคกลาง
คลอง 7 รังสิต-นครนายก,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
คลองหลวง,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
นวนคร,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
บางกะดี อุตสาหกรรม ปทุมธานี,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
บ้านฟ้า,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
ปทุมธานี,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
รังสิต,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
รังสิต-นครนายก,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
ลำลูกกา คลอง 2,โลตัส,ปทุมธานี,กรุงเทพฯและภาคกลาง
แม่ขรี พัทลุง,โลตัส,พัทลุง,ภาคใต้
ควนขนุน พัทลุง,โลตัส,พัทลุง,ภาคใต้
พัทลุง,โลตัส,พัทลุง,ภาคใต้
เชียงคำ,โลตัส,พะเยา,ภาคเหนือ
พะเยา,โลตัส,พะเยา,ภาคเหนือ
เพชรบูรณ์,โลตัส,เพชรบูรณ์,ภาคเหนือ
บึงสามพราน เพชรบูรณ์,โลตัส,เพชรบูรณ์,ภาคเหนือ
ศรีเทพ เพชรบูรณ์,โลตัส,เพชรบูรณ์,ภาคเหนือ
หล่มสัก,โลตัส,เพชรบูรณ์,ภาคเหนือ
ชะอำ,โลตัส,เพชรบุรี,ภาคตะวันตกและตะวันออก
ท่ายางทาวน์ เพชรบุรี,โลตัส,เพชรบุรี,ภาคตะวันตกและตะวันออก
ท่าหลวง พิจิตร,โลตัส,พิจิตร,ภาคเหนือ
ท่าทอง พิษณุโลก,โลตัส,พิษณุโลก,ภาคเหนือ
พิษณุโลก,โลตัส,พิษณุโลก,ภาคเหนือ
แพร่,โลตัส,แพร่,ภาคเหนือ
ฉลอง ภูเก็ต,โลตัส,ภูเก็ต,ภาคใต้
ถลาง ภูเก็ต,โลตัส,ภูเก็ต,ภาคใต้
ภูเก็ต,โลตัส,ภูเก็ต,ภาคใต้
กบินทร์บุรี,โลตัส,ปราจีนบุรี,ภาคตะวันตกและตะวันออก
ปราจีนบุรี,โลตัส,ปราจีนบุรี,ภาคตะวันตกและตะวันออก
ศรีมหาโพธ ปราจีนบุรี,โลตัส,ปราจีนบุรี,ภาคตะวันตกและตะวันออก
ประจวบคีรีขันธ์,โลตัส,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก
ปราณบุรี,โลตัส,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก
หัวหิน,โลตัส,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก
ระนอง,โลตัส,ระนอง,ภาคใต้
บ้านโป่ง,โลตัส,ราชบุรี,ภาคตะวันตกและตะวันออก
ราชบุรี,โลตัส,ราชบุรี,ภาคตะวันตกและตะวันออก
แกลง ระยอง,โลตัส,ระยอง,ภาคตะวันตกและตะวันออก
นิคมพัฒนา ระยอง,โลตัส,ระยอง,ภาคตะวันตกและตะวันออก
บ้านฉาง ระยอง,โลตัส,ระยอง,ภาคตะวันตกและตะวันออก
